"","nobs","nsim","th","zip1","poisson","log.linear","zip2","nb","hurdle"
"1",100,1,-4,0.0618622145580394,1.08871449804347,-0.496734567384684,0.0865073620660626,0.467782435518792,0.101292015149769
"2",200,1,-4,-0.109275530888058,-0.752146343785262,-0.854125273905943,-0.230233323108342,-0.380054329993761,-0.272512630705332
"3",500,1,-4,-0.0517750343146584,-0.390267608857203,-0.846474353525857,0.00693264726802534,-0.373928380949256,-0.00663717489423621
"4",1100,1,-4,0.010084708474392,0.22104787687054,-0.844402862893362,0.000386488386175277,-0.00812134800230457,0.00282862807893958
"5",3000,1,-4,0.0130014127858704,-0.316177023180922,-0.805596270145914,0.0174097515087768,-0.0416121622741463,0.0141500611615686
"6",8200,1,-4,-0.00546400193376906,-0.284880123550606,-0.813272270785432,-0.00278001172721765,-0.0507382459219929,-0.00224598767297501
"7",100,2,-4,-0.730482038771711,-1.17655393614574,-0.926445797115946,-0.644372595640821,-1.06362443177113,-0.904497438070263
"8",200,2,-4,0.158715321790902,0.224558076894737,-0.842643365036605,0.157957923229133,-0.258012841742277,0.127550656626533
"9",500,2,-4,-0.015166269906467,-0.404009468820657,-0.818246907112989,-0.0465006669115793,-0.1399942141167,-0.0284859549128089
"10",1100,2,-4,0.0239921835523411,-0.323999408494409,-0.813050149835268,0.00745765344445104,-0.0490719825432193,0.012239072508375
"11",3000,2,-4,-0.00949498180663699,0.188632555217331,-0.778184532912326,-0.00484508647376658,0.0811869798837273,0.000633335240459942
"12",8200,2,-4,0.00893913835309545,-0.207759365287247,-0.815611454331967,0.00821700270435377,-0.061849905223522,0.00349983692936817
"13",100,3,-4,0.144155683057802,-1.17682798242843,-0.943642389575388,0.460016677142586,-1.02483300579332,0.405085508076488
"14",200,3,-4,0.0964870994772538,-0.447434401288438,-0.798168234817408,0.0954371103794158,0.134665518706001,0.0828820641043677
"15",500,3,-4,0.0280484011123745,-0.106633343612408,-0.816251470571973,0.021625123603922,0.085748330256767,0.0321715000945102
"16",1100,3,-4,-0.00773550000824397,-0.276101424865283,-0.809257049882095,-0.00399649004359603,-0.119792314747289,-0.012776359954789
"17",3000,3,-4,0.028182235675926,0.221137971372328,-0.767567892720705,0.0284125461954541,0.127373625595029,0.0284462735019231
